years,Solar,Nuclear,Wind,Coal,Hydro,Gas,Other,Oil
2020,431,13447,20678,48628,3619,50793,2022,0.0
2021,1192,13447,22473,50842,3619,53917,2103,0.0
2022,2398,13447,24882,50842,3778,55158,2103,0.0
2023,3268,13447,24984,50842,3778,59204,2103,0.0
2024,7896,13447,26046,50842,3995,60830,2103,0.0
