years,Solar,Nuclear,Wind,Coal,Hydro,Gas,Other,Oil
2020,2308,5996,0,11883,4945,26768,411,183
2021,2910,6035,0,13515,4945,26768,462,221
2022,3711,6035,0,13515,4945,29021,462,923
2023,3796,7123,0,13515,4945,29021,462,923
2024,4851,8239,0,13515,4945,29021,462,923
