date,Solar,Nuclear,Wind,Coal,Hydro,Gas,Other,Oil
20200123T10,0.0,0.9830795262267343,0.47813513276662867,0.6533722669325547,0.5720430956233474,0.4894701467458273,0.8673469387755102,0.855072463768116
20200123T11,0.0,0.9830795262267343,0.46472701778985187,0.6352111672957766,0.5654524645802913,0.49210261005937045,0.8741496598639455,0.8405797101449275
20200123T12,-0.0003098853424233034,0.9839255499153976,0.47016037157129087,0.647959547040809,0.5784364023836773,0.49400694522235916,0.8435374149659864,0.8695652173913043
20200123T13,-0.0003098853424233034,0.9830795262267343,0.4891771098063272,0.6915461861690763,0.6203086151781838,0.4966954183936373,0.8435374149659864,0.8695652173913043
20200123T14,0.0,0.9839255499153976,0.5244939093856805,0.7174702656505947,0.6873199415920123,0.5185392629102722,0.858843537414966,0.855072463768116
20200123T15,0.005577936163619461,0.9839255499153976,0.5272105862763999,0.7475251050494979,0.7450175618611626,0.5503528621037302,0.8647959183673469,0.855072463768116
20200123T16,0.1747753331267431,0.9830795262267343,0.49443519411094555,0.7711701445765972,0.7708275780417538,0.5351181807998208,0.8852040816326531,0.8405797101449275
20200123T17,0.49116826774093586,0.9830795262267343,0.5040750153360792,0.7129121857417563,0.7552784245629267,0.4960793099585527,0.8826530612244898,0.8260869565217391
20200123T18,0.5550046482801364,0.9839255499153976,0.5315923231969153,0.6616337867673243,0.729547338095426,0.45849669541839366,0.8767006802721088,0.8405797101449275
20200123T19,0.5701890300588782,0.9839255499153976,0.5123126807466479,0.6399829072003419,0.718497178262757,0.4728912288562787,0.8809523809523809,0.8405797101449275
20200123T20,0.5553145336225597,0.9847715736040609,0.4946980983261765,0.6470336870593263,0.6996329768341292,0.45603226167805533,0.8724489795918368,0.8695652173913043
20200123T21,0.5633715525255656,0.9839255499153976,0.4904039961440715,0.6354248272915034,0.7035399976321086,0.4596729024308278,0.8579931972789115,0.855072463768116
20200123T22,0.5714285714285714,0.9847715736040609,0.4812899833493997,0.6414073071718539,0.7036978570582896,0.4781561554833651,0.8537414965986394,0.8115942028985508
20200123T23,0.5522156801983266,0.9847715736040609,0.47278941372360006,0.6378463072430739,0.7035399976321086,0.4852694074157052,0.8443877551020408,0.8405797101449275
20200124T00,0.3080260303687636,0.9839255499153976,0.43878713522040136,0.6855637062887259,0.7451754212873436,0.5298532541727344,0.8477891156462585,0.855072463768116
20200124T01,0.0368763557483731,0.9830795262267343,0.418631145386031,0.7913966241720675,0.7786810844942579,0.5784698106866809,0.8503401360544217,0.855072463768116
20200124T02,0.0009296560272699101,0.9839255499153976,0.4101305757602314,0.8275051634498968,0.8092663483168239,0.59426459056794,0.8664965986394558,0.855072463768116
20200124T03,0.0006197706848466068,0.9839255499153976,0.3956708439225309,0.8157538636849228,0.8203559730060381,0.6054105522571973,0.8630952380952381,0.8260869565217391
20200124T04,0.0,0.9839255499153976,0.38322671106826744,0.7858414642831707,0.8125024665535341,0.6085471042903551,0.8681972789115646,0.8260869565217391
20200124T05,0.0006197706848466068,0.9847715736040609,0.33993515029357635,0.7651876646962467,0.7821539918702396,0.6045143945334379,0.8656462585034014,0.855072463768116
20200124T06,0.0006197706848466068,0.9856175972927242,0.3101393392340724,0.7680364646392707,0.7296262678085165,0.5887196146521788,0.8732993197278912,0.855072463768116
20200124T07,0.0003098853424233034,0.9839255499153976,0.3371308386644466,0.7160458656790827,0.6474604364813134,0.566595720846869,0.8409863945578231,0.8405797101449275
20200124T08,0.0006197706848466068,0.9839255499153976,0.33485233546577864,0.6949647461007051,0.5999842140573819,0.5441917777528845,0.826530612244898,0.8405797101449275
20200124T09,0.0006197706848466068,0.9839255499153976,0.32039260362807814,0.647247347055053,0.6113895575989581,0.5028004928867481,0.8044217687074829,0.8405797101449275
20200124T10,0.0006197706848466068,0.9856175972927242,0.3061081412671983,0.6283028274339435,0.605272504834445,0.4980956648370113,0.8010204081632653,0.8260869565217391
20200124T11,-0.0003098853424233034,0.9856175972927242,0.29112260099903603,0.6193291076134179,0.5992343817830222,0.49843172398342106,0.8086734693877551,0.8405797101449275
20200124T12,0.0006197706848466068,0.9847715736040609,0.27946718079046534,0.6298696674026066,0.6091795256324243,0.508569508233449,0.8282312925170068,0.8260869565217391
20200124T13,0.0006197706848466068,0.9830795262267343,0.27806502497590047,0.6777295064454099,0.6209005880263625,0.5334938949255069,0.8273809523809523,0.8405797101449275
20200124T14,0.0,0.9839255499153976,0.3345017965121374,0.7470265650594687,0.665180157070129,0.5509689705388149,0.8435374149659864,0.8405797101449275
20200124T15,0.008676789587852495,0.9839255499153976,0.3811234773464201,0.7932483441350331,0.7109199258060697,0.5938725215637952,0.8273809523809523,0.8405797101449275
20200124T16,0.13851874806321662,0.9839255499153976,0.39216545438611866,0.797379104052418,0.7517660523303997,0.571020499607931,0.8350340136054422,0.8405797101449275
20200124T17,0.36566470405949797,0.9856175972927242,0.38866006484970644,0.7658286446834272,0.7483326098109634,0.5398230088495575,0.8282312925170068,0.8115942028985508
20200124T18,0.4418964982956306,0.9856175972927242,0.3748137761808781,0.7510148849797023,0.7340068668850389,0.5222359135207797,0.8392857142857143,0.7971014492753623
20200124T19,0.4511930585683297,0.9830795262267343,0.36534922443256507,0.7130546257389074,0.7210229290816528,0.5221799036630447,0.8622448979591837,0.8260869565217391
20200124T20,0.5038735667802913,0.9788494077834179,0.352729822101481,0.6833558863328822,0.7169185840009471,0.4770919681864008,0.8605442176870748,0.8260869565217391
20200124T21,0.5633715525255656,0.9763113367174281,0.34694592936640084,0.6520190869596183,0.7119854769327914,0.4610171390164669,0.8537414965986394,0.7971014492753623
20200124T22,0.5559343043074063,0.9763113367174281,0.35018841468758216,0.6228901075421979,0.6921741189470776,0.47193906127478435,0.858843537414966,0.7971014492753623
20200124T23,0.44437558103501706,0.9754653130287648,0.3446674261677329,0.645466847090663,0.7011721062393939,0.5102498039654979,0.8562925170068028,0.782608695652174
20200125T00,0.27022001859312056,0.9754653130287648,0.30488125492945406,0.7007335659853287,0.7405580330715498,0.526212613419962,0.8613945578231292,0.8115942028985508
20200125T01,0.0368763557483731,0.9771573604060914,0.30663394969766017,0.7701730645965387,0.7698014917715774,0.5596504984877338,0.8239795918367347,0.8260869565217391
20200125T02,0.0,0.9780033840947546,0.3090000876347384,0.7993732640125347,0.8037807332570346,0.5763414360927523,0.8358843537414966,0.8260869565217391
