date,Solar,Nuclear,Wind,Coal,Hydro,Gas,Other,Oil
20200315T14,0.2549129702414374,0.7572768618533258,0.17959137600180608,0.4037427190482092,0.27858726639214443,0.5048989504242966,0.3231967831113345,0.10884997633696167
20200315T15,0.38686131386861317,0.7575326890278568,0.16198216502991308,0.3790804312802082,0.19781438074121002,0.5046058508262617,0.3214375471223926,0.10743019403691434
20200315T16,0.48905109489051096,0.7574758385446276,0.16119200812732815,0.36113520882389394,0.19274627811213177,0.5036288521661456,0.32570997738125157,0.10506389020350212
20200315T17,0.4811903425042111,0.757703240477544,0.1293599729089062,0.34755236088734665,0.188470066518847,0.4971527467619473,0.32822317165116865,0.10553715097018457
20200315T18,0.5098259404828748,0.7576748152359295,0.1022688791059939,0.33478745817325567,0.1922711434906557,0.48549854845913354,0.3669263634078914,0.10459062943681968
20200315T19,0.42167321729365526,0.7579874928936896,0.0934642736200474,0.32115503779898374,0.1922711434906557,0.48237215274676193,0.36290525257602413,0.10459062943681968
20200315T20,0.29983155530600786,0.7581011938601478,0.10238175866350605,0.32569091585078697,0.23218245169464682,0.4823861098704779,0.36793164111585824,0.10411736867013724
20200315T21,0.19427288040426727,0.757703240477544,0.10362343379613952,0.33501053414301646,0.28476401647133354,0.4973481464939705,0.3747172656446343,0.10317084713677237
20200315T22,0.023582257158899493,0.7575611142694713,0.11084772547691613,0.3333746436981039,0.4056065885334178,0.5029170388566324,0.37572254335260113,0.10080454330336015
20200315T23,0.0022459292532285235,0.7573337123365549,0.10283327689355458,0.37075226174247117,0.669781438074121,0.5169439481911567,0.37195275194772554,0.10033128253667771
20200316T00,0.0,0.7508243320068221,0.11570154644993792,0.4427810137563515,0.688470066518847,0.5267697632871817,0.3669263634078914,0.10033128253667771
20200316T01,0.0,0.7507390562819783,0.12947285246641832,0.4491510720039658,0.38248337028824836,0.5233363108530594,0.3606433777330988,0.10175106483672504
20200316T02,0.0,0.7520466173962479,0.15566090980923356,0.4141777171892428,0.18672790624010135,0.5047733363108531,0.32847449107816035,0.10222432560340748
20200316T03,0.0,0.7535247299602047,0.17857545998419685,0.3559301028628083,0.19037060500475134,0.4887505582849486,0.3071123397838653,0.10222432560340748
20200316T04,0.0022459292532285235,0.7335986355884025,0.2947285246641833,0.30987730821663156,0.1602787456445993,0.46868021438142027,0.16989193264639357,0.09938476100331282
20200316T05,0.0,0.7553155201819215,0.1914437295405802,0.3030363118106333,0.14539119417168198,0.48637784725323807,0.25785373209349083,0.10553715097018457
20200316T06,0.0,0.7562535531552018,0.21447115927305566,0.29468335605403395,0.1444409249287298,0.488652858418937,0.2583563709474742,0.10648367250354945
20200316T07,0.0,0.7577600909607731,0.1800428942318546,0.3010782005205106,0.13731390560658854,0.4960222197409558,0.2555918572505655,0.10837671557027923
20200316T08,0.0,0.758726549175668,0.15927305564962185,0.32529433634898997,0.14586632879315806,0.5099095578383207,0.2581050515204825,0.11074301940369144
20200316T09,0.0,0.7585275724843661,0.15340331865899084,0.33235840872474903,0.15711118150142542,0.5284167038856632,0.30585574264890675,0.10790345480359678
20200316T10,0.0,0.758726549175668,0.15306467998645445,0.33357293344900235,0.6274944567627494,0.5690179767753462,0.3048504649409399,0.10932323710364411
20200316T11,0.0011229646266142617,0.758413871517908,0.1483237385709448,0.4172016358904449,0.8082039911308204,0.6074279812416258,0.29932143754712237,0.10884997633696167
20200316T12,0.15047725996631106,0.7585559977259807,0.1385032170673891,0.4594373528318255,0.7812796959138423,0.6080839660562751,0.3010806735360643,0.10837671557027923
20200316T13,0.4553621560920831,0.7583001705514497,0.11716898069759567,0.4669475771471062,0.5714285714285714,0.5986210361768647,0.30082935410907263,0.10743019403691434
20200316T14,0.6911847276810781,0.7586981239340534,0.10125296308838469,0.46816210187135954,0.518688628444726,0.5770154086645825,0.3267152550892184,0.10743019403691434
