date,Solar,Nuclear,Wind,Coal,Hydro,Gas,Other,Oil
20200425T03,0.0,0.7586206896551724,0.7386307072718222,0.5031268179173939,0.14826498422712933,0.37176173967853765,0.0003050241840603076,0
20200425T04,0.0,0.7584258718098578,0.7913027738811711,0.45222513089005234,0.031545741324921134,0.30057779178485133,0.00039217395093468126,0
20200425T05,0.0,0.7586206896551724,0.7403049911760713,0.41506689936009306,0.025236593059936908,0.27250761634625487,0.0007407730184321757,0
20200425T06,0.0,0.7586206896551724,0.6713878456038734,0.38496218731820825,0.028391167192429023,0.24668557621598908,0.0002614493006231208,0
20200425T07,0.0,0.7588155075004871,0.640933978913073,0.3656195462478185,0.10725552050473186,0.21422418321252232,0.0003050241840603076,0
20200425T08,0.0,0.7586206896551724,0.5874473958097651,0.3590023269342641,0.028391167192429023,0.20521063136884127,0.00039217395093468126,0
20200425T09,0.0,0.7588155075004871,0.5740531245757726,0.35413030831879,0.028391167192429023,0.19399096543754596,0.00034859906749749447,0
20200425T10,0.0,0.7586206896551724,0.5464953165301597,0.3485311227457824,0.028391167192429023,0.19014602374198972,0.00034859906749749447,0
20200425T11,0.0,0.7586206896551724,0.5083035431467487,0.3525305410122164,0.028391167192429023,0.20153377455615085,0.00039217395093468126,0
20200425T12,0.0,0.7586206896551724,0.45318792705552285,0.36307446189645143,0.138801261829653,0.22540182792310118,0.00034859906749749447,0
20200425T13,0.04936014625228519,0.7588155075004871,0.41205484411059323,0.3712914485165794,0.1640378548895899,0.23966803235633996,0.00043574883437186805,0
20200425T14,0.388090885348655,0.7590103253458017,0.3068012127245577,0.38670738801628857,0.23974763406940064,0.28713100115558354,0.00039217395093468126,0
20200425T15,0.645599373204492,0.7590103253458017,0.29856554595230556,0.387434554973822,0.24605678233438485,0.3141506460762685,0.0005228986012462416,0
20200425T16,0.6719770174980413,0.7590103253458017,0.28530702746730624,0.4408813263525305,0.501577287066246,0.3352663094862906,0.00047932371780905485,0
20200425T17,0.6978323322016192,0.7588155075004871,0.23716005249106295,0.5825334496800465,0.5772870662460567,0.34869208950520014,0.0006536232515578021,0
20200425T18,0.7163750326455993,0.7588155075004871,0.1757998099461514,0.6867364746945899,0.5078864353312302,0.3709213152642084,0.0005228986012462416,0
20200425T19,0.7121963959258292,0.7588155075004871,0.12914611520883298,0.7198952879581152,0.31230283911671924,0.4024372308015548,0.00043574883437186805,0
20200425T20,0.7187255158004701,0.7590103253458017,0.11000497760079642,0.7005526468877254,0.3627760252365931,0.412648387435655,0.0006536232515578021,0
20200425T21,0.719509010185427,0.7588155075004871,0.12643106022896963,0.6904450261780105,0.3659305993690852,0.4151696606786427,0.0006536232515578021,0
20200425T22,0.6999216505615043,0.7588155075004871,0.15729218516674962,0.6868819080860966,0.3722397476340694,0.41968694190566236,0.0005228986012462416,0
20200425T23,0.6529119874640898,0.7586206896551724,0.18860581926784017,0.6951716114019779,0.38170347003154576,0.4185103477256014,0.0006971981349949889,0
20200426T00,0.5690780882737007,0.7588155075004871,0.20150233042219104,0.6961169284467714,0.4889589905362776,0.4159050320411808,0.00047932371780905485,0
20200426T01,0.21650561504309218,0.7588155075004871,0.20960224444545003,0.7052792321116929,0.41009463722397477,0.41996007984031936,0.0006100483681206152,0
20200426T02,0.005223295899712719,0.7588155075004871,0.2556224263541337,0.6784467713787086,0.29337539432176657,0.41819518857022797,0.0003050241840603076,0
20200426T03,0.0,0.7475160724722385,0.37055975383501516,0.6063118091913904,0.05993690851735016,0.3625801029519908,0.00034859906749749447,0
20200426T04,0.0,0.7327099162283265,0.46382189239332094,0.5082897033158813,0.028391167192429023,0.30656581573694713,0.00034859906749749447,0
20200426T05,0.0,0.7330995519189558,0.5414272139010815,0.42633798720186156,0.028391167192429023,0.247315894526736,0.0003050241840603076,0
20200426T06,0.0,0.7383596337424508,0.5399791845784877,0.4097585805700989,0.031545741324921134,0.21016913541338375,0.00039217395093468126,0
20200426T07,0.0,0.7543346970582505,0.5475813385221051,0.38394415357766143,0.11041009463722397,0.1797457716146654,0.0002614493006231208,0
20200426T08,0.0,0.7547243327488798,0.5591655731028553,0.3566753926701571,0.031545741324921134,0.15921840529467382,0.0002614493006231208,0
20200426T09,0.0,0.7584258718098578,0.570297298520295,0.3440954043048284,0.031545741324921134,0.14314528837062718,0.0003050241840603076,0
20200426T10,0.0,0.7592051431911163,0.5633286574053125,0.34649505526468877,0.031545741324921134,0.13953146338901146,0.0002614493006231208,0
20200426T11,0.0,0.7593999610364309,0.5424679849766958,0.36751018033740546,0.031545741324921134,0.14175858808698394,0.0002614493006231208,0
20200426T12,0.0,0.7593999610364309,0.5373546314312865,0.3624927283304247,0.14195583596214512,0.1488811849984242,0.00034859906749749447,0
20200426T13,0.0363019065030034,0.7593999610364309,0.5295262229060138,0.3403868528214078,0.167192429022082,0.15858808698392687,0.0003050241840603076,0
20200426T14,0.38495690780882735,0.7595947788817455,0.5071270193221413,0.33638743455497383,0.24605678233438485,0.1704380712259691,0.00021787441718593403,0
20200426T15,0.5557586837294333,0.7595947788817455,0.5461333091995113,0.35340314136125656,0.24605678233438485,0.1754596071015863,0.0002614493006231208,0
20200426T16,0.5030033951423348,0.7593999610364309,0.6164984840943029,0.36605584642233857,0.138801261829653,0.18676331547431452,0.0002614493006231208,0
20200426T17,0.4510316009401933,0.7593999610364309,0.6387166840128513,0.3912885398487493,0.38485804416403785,0.21216514339741568,0.0003050241840603076,0
20200426T18,0.37477148080438755,0.7592051431911163,0.6692610525363138,0.46589586969168123,0.47634069400630913,0.2239941170290997,0.0002614493006231208,0
20200426T19,0.32880647688691567,0.7592051431911163,0.6901217249649305,0.5245782431646306,0.5205047318611987,0.2430297300136569,0.00039217395093468126,0
20200426T20,0.30869678767302167,0.7588155075004871,0.6998054210597765,0.5915503199534613,0.42586750788643535,0.2617291732324824,0.0005228986012462416,0
20200426T21,0.37868895272917213,0.7588155075004871,0.7076790805013802,0.6495782431646306,0.2618296529968454,0.2753230381342578,0.00047932371780905485,0
20200426T22,0.44371898668059545,0.7586206896551724,0.7284492510973347,0.6592495636998255,0.3722397476340694,0.28402143082256537,0.00034859906749749447,0
20200426T23,0.4424131627056673,0.7586206896551724,0.7549662880673333,0.6649941826643397,0.3722397476340694,0.28685786322092655,0.0005664734846834284,0
