date,Battery,
2024-11-09T20,138,49455
2024-11-09T21,50,49505
2024-11-09T22,132,49637
2024-11-09T23,804,50441
2024-11-10T00,2517,52958
2024-11-10T01,1876,54834
2024-11-10T02,1186,56020
2024-11-10T03,1020,57040
2024-11-10T04,875,57915
2024-11-10T05,487,58402
2024-11-10T06,455,58857
2024-11-10T07,134,58991
2024-11-10T08,54,59045
2024-11-10T09,61,59106
2024-11-10T10,37,59143
2024-11-10T11,132,59275
2024-11-10T12,319,59594
2024-11-10T13,265,59859
2024-11-10T14,168,60027
2024-11-10T15,81,60108
2024-11-10T16,134,60242
2024-11-10T17,128,60370
2024-11-10T18,50,60420
2024-11-10T19,135,60555
2024-11-10T20,81,60636
2024-11-10T21,68,60704
2024-11-10T22,161,60865
2024-11-10T23,789,61654
2024-11-11T00,3844,65498
2024-11-11T01,3814,69312
2024-11-11T02,1618,70930
2024-11-11T03,864,71794
2024-11-11T04,331,72125
2024-11-11T05,343,72468
2024-11-11T06,229,72697
2024-11-11T07,66,72763
2024-11-11T08,54,72817
2024-11-11T09,90,72907
2024-11-11T10,53,72960
2024-11-11T11,141,73101
2024-11-11T12,273,73374
2024-11-11T13,795,74169
2024-11-11T14,568,74737
2024-11-11T15,50,74787
2024-11-11T16,114,74901
2024-11-11T17,334,75235
2024-11-11T18,191,75426
2024-11-11T19,242,75668
2024-11-11T20,166,75834
2024-11-11T21,148,75982
2024-11-11T22,155,76137
2024-11-11T23,931,77068
2024-11-12T00,3184,80252
2024-11-12T01,3199,83451
2024-11-12T02,1880,85331
2024-11-12T03,736,86067
2024-11-12T04,171,86238
2024-11-12T05,271,86509
2024-11-12T06,174,86683
2024-11-12T07,103,86786
2024-11-12T08,22,86808
2024-11-12T09,27,86835
2024-11-12T10,24,86859
2024-11-12T11,120,86979
2024-11-12T12,120,87099
2024-11-12T13,155,87254
2024-11-12T14,145,87399
2024-11-12T15,181,87580
2024-11-12T16,122,87702
2024-11-12T17,113,87815
2024-11-12T18,116,87931
2024-11-12T19,129,88060
2024-11-12T20,147,88207
2024-11-12T21,91,88298
2024-11-12T22,140,88438
2024-11-12T23,465,88903
2024-11-13T00,1560,90463
2024-11-13T01,1428,91891
2024-11-13T02,1029,92920
2024-11-13T03,1083,94003
2024-11-13T04,407,94410
2024-11-13T05,537,94947
2024-11-13T06,375,95322
2024-11-13T07,226,95548
2024-11-13T08,153,95701
2024-11-13T09,95,95796
2024-11-13T10,88,95884
2024-11-13T11,114,95998
2024-11-13T12,197,96195
2024-11-13T13,519,96714
2024-11-13T14,187,96901
2024-11-13T15,144,97045
2024-11-13T16,263,97308
2024-11-13T17,216,97524
2024-11-13T18,335,97859
2024-11-13T19,117,97976
2024-11-13T20,114,98090
2024-11-13T21,157,98247
2024-11-13T22,166,98413
2024-11-13T23,679,99092
2024-11-14T00,1897,100989
2024-11-14T01,2164,103153
2024-11-14T02,1431,104584
2024-11-14T03,1558,106142
2024-11-14T04,559,106701
2024-11-14T05,301,107002
2024-11-14T06,185,107187
2024-11-14T07,363,107550
2024-11-14T08,407,107957
2024-11-14T09,68,108025
2024-11-14T10,18,108043
2024-11-14T11,57,108100
2024-11-14T12,231,108331
2024-11-14T13,672,109003
2024-11-14T14,430,109433
2024-11-14T15,101,109534
2024-11-14T16,56,109590
2024-11-14T17,74,109664
2024-11-14T18,88,109752
2024-11-14T19,75,109827
2024-11-14T20,75,109902
2024-11-14T21,80,109982
2024-11-14T22,82,110064
2024-11-14T23,1002,111066
2024-11-15T00,3203,114269
2024-11-15T01,2147,116416
2024-11-15T02,660,117076
2024-11-15T03,710,117786
2024-11-15T04,287,118073
2024-11-15T05,367,118440
2024-11-15T06,184,118624
2024-11-15T07,83,118707
2024-11-15T08,57,118764
2024-11-15T09,44,118808
2024-11-15T10,60,118868
2024-11-15T11,114,118982
2024-11-15T12,415,119397
2024-11-15T13,1310,120707
2024-11-15T14,673,121380
2024-11-15T15,356,121736
2024-11-15T16,351,122087
2024-11-15T17,260,122347
2024-11-15T18,148,122495
2024-11-15T19,219,122714
2024-11-15T20,177,122891
2024-11-15T21,147,123038
2024-11-15T22,196,123234
2024-11-15T23,1054,124288
2024-11-16T00,2394,126682
2024-11-16T01,1868,128550
2024-11-16T02,788,129338
2024-11-16T03,675,130013
2024-11-16T04,218,130231
2024-11-16T05,332,130563
2024-11-16T06,221,130784
2024-11-16T07,112,130896
2024-11-16T08,71,130967
2024-11-16T09,55,131022
2024-11-16T10,88,131110
2024-11-16T11,106,131216
2024-11-16T12,138,131354
2024-11-16T13,535,131889
2024-11-16T14,539,132428
2024-11-16T15,342,132770
2024-11-16T16,117,132887
2024-11-16T17,60,132947
2024-11-16T18,108,133055
2024-11-16T19,280,133335
2024-11-16T20,159,133494
2024-11-16T21,205,133699
2024-11-16T22,213,133912
2024-11-16T23,797,134709
2024-11-17T00,1821,136530
2024-11-17T01,1616,138146
2024-11-17T02,1076,139222
2024-11-17T03,1067,140289
2024-11-17T04,643,140932
2024-11-17T05,508,141440
2024-11-17T06,163,141603
2024-11-17T07,170,141773
2024-11-17T08,57,141830
2024-11-17T09,59,141889
2024-11-17T10,125,142014
2024-11-17T11,194,142208
2024-11-17T12,258,142466
2024-11-17T13,663,143129
2024-11-17T14,828,143957
2024-11-17T15,590,144547
2024-11-17T16,396,144943
2024-11-17T17,170,145113
2024-11-17T18,365,145478
2024-11-17T19,438,145916
2024-11-17T20,1017,146933
2024-11-17T21,1556,148489
2024-11-17T22,1572,150061
2024-11-17T23,1294,151355
2024-11-18T00,1290,152645
2024-11-18T01,1058,153703
2024-11-18T02,849,154552
2024-11-18T03,841,155393
2024-11-18T04,340,155733
2024-11-18T05,359,156092
2024-11-18T06,252,156344
2024-11-18T07,350,156694
2024-11-18T08,93,156787
2024-11-18T09,175,156962
2024-11-18T10,189,157151
2024-11-18T11,70,157221
2024-11-18T12,222,157443
2024-11-18T13,707,158150
2024-11-18T14,329,158479
2024-11-18T15,383,158862
2024-11-18T16,59,158921
2024-11-18T17,150,159071
2024-11-18T18,-33,159038
2024-11-18T19,-35,159003
2024-11-18T20,-26,158977
2024-11-18T21,-134,158843
2024-11-18T22,-49,158794
2024-11-18T23,305,159099
2024-11-19T00,2290,161389
2024-11-19T01,2770,164159
2024-11-19T02,1798,165957
2024-11-19T03,1107,167064
2024-11-19T04,508,167572
2024-11-19T05,548,168120
2024-11-19T06,278,168398
2024-11-19T07,88,168486
2024-11-19T08,85,168571
2024-11-19T09,44,168615
2024-11-19T10,42,168657
2024-11-19T11,122,168779
2024-11-19T12,240,169019
2024-11-19T13,974,169993
2024-11-19T14,786,170779
2024-11-19T15,46,170825
2024-11-19T16,142,170967
2024-11-19T17,162,171129
2024-11-19T18,-21,171108
2024-11-19T19,-98,171010
2024-11-19T20,-81,170929
2024-11-19T21,-89,170840
2024-11-19T22,59,170899
2024-11-19T23,756,171655
2024-11-20T00,2729,174384
2024-11-20T01,2566,176950
2024-11-20T02,1640,178590
2024-11-20T03,1003,179593
2024-11-20T04,532,180125
2024-11-20T05,459,180584
2024-11-20T06,280,180864
2024-11-20T07,132,180996
2024-11-20T08,133,181129
2024-11-20T09,79,181208
2024-11-20T10,60,181268
2024-11-20T11,108,181376
2024-11-20T12,183,181559
2024-11-20T13,796,182355
2024-11-20T14,420,182775
2024-11-20T15,111,182886
2024-11-20T16,38,182924
2024-11-20T17,64,182988
2024-11-20T18,-26,182962
2024-11-20T19,-108,182854
2024-11-20T20,-113,182741
2024-11-20T21,-154,182587
2024-11-20T22,-77,182510
2024-11-20T23,921,183431
2024-11-21T00,2965,186396
2024-11-21T01,2982,189378
2024-11-21T02,1623,191001
2024-11-21T03,1121,192122
2024-11-21T04,790,192912
2024-11-21T05,609,193521
2024-11-21T06,223,193744
2024-11-21T07,98,193842
2024-11-21T08,38,193880
2024-11-21T09,20,193900
2024-11-21T10,16,193916
2024-11-21T11,81,193997
2024-11-21T12,379,194376
2024-11-21T13,1987,196363
2024-11-21T14,1017,197380
2024-11-21T15,110,197490
2024-11-21T16,0,197490
2024-11-21T17,88,197578
2024-11-21T18,167,197745
2024-11-21T19,82,197827
2024-11-21T20,-30,197797
2024-11-21T21,-68,197729
2024-11-21T22,-77,197652
2024-11-21T23,363,198015
2024-11-22T00,2159,200174
2024-11-22T01,2686,202860
2024-11-22T02,1598,204458
2024-11-22T03,1487,205945
2024-11-22T04,1125,207070
2024-11-22T05,958,208028
2024-11-22T06,235,208263
2024-11-22T07,55,208318
2024-11-22T08,41,208359
2024-11-22T09,47,208406
2024-11-22T10,52,208458
2024-11-22T11,58,208516
2024-11-22T12,194,208710
2024-11-22T13,1061,209771
2024-11-22T14,963,210734
2024-11-22T15,80,210814
2024-11-22T16,83,210897
2024-11-22T17,97,210994
2024-11-22T18,-85,210909
2024-11-22T19,-63,210846
2024-11-22T20,13,210859
2024-11-22T21,-105,210754
2024-11-22T22,-115,210639
2024-11-22T23,696,211335
2024-11-23T00,2602,213937
2024-11-23T01,1731,215668
2024-11-23T02,1017,216685
2024-11-23T03,1058,217743
2024-11-23T04,1188,218931
2024-11-23T05,972,219903
2024-11-23T06,402,220305
2024-11-23T07,248,220553
2024-11-23T08,72,220625
2024-11-23T09,195,220820
2024-11-23T10,281,221101
2024-11-23T11,383,221484
2024-11-23T12,416,221900
2024-11-23T13,944,222844
2024-11-23T14,658,223502
2024-11-23T15,52,223554
2024-11-23T16,151,223705
2024-11-23T17,90,223795
2024-11-23T18,-75,223720
2024-11-23T19,47,223767
2024-11-23T20,3,223770
2024-11-23T21,58,223828
2024-11-23T22,0,223828
2024-11-23T23,762,224590
2024-11-24T00,2477,227067
2024-11-24T01,1999,229066
2024-11-24T02,1260,230326
2024-11-24T03,1199,231525
2024-11-24T04,1017,232542
2024-11-24T05,1272,233814
2024-11-24T06,295,234109
2024-11-24T07,293,234402
2024-11-24T08,84,234486
2024-11-24T09,64,234550
2024-11-24T10,82,234632
2024-11-24T11,144,234776
2024-11-24T12,168,234944
2024-11-24T13,621,235565
2024-11-24T14,510,236075
2024-11-24T15,96,236171
2024-11-24T16,92,236263
2024-11-24T17,76,236339
2024-11-24T18,-97,236242
2024-11-24T19,-16,236226
2024-11-24T20,82,236308
2024-11-24T21,153,236461
2024-11-24T22,189,236650
2024-11-24T23,785,237435
2024-11-25T00,1702,239137
2024-11-25T01,1599,240736
2024-11-25T02,1458,242194
2024-11-25T03,946,243140
2024-11-25T04,892,244032
2024-11-25T05,788,244820
2024-11-25T06,441,245261
2024-11-25T07,221,245482
2024-11-25T08,298,245780
2024-11-25T09,246,246026
2024-11-25T10,344,246370
2024-11-25T11,205,246575
2024-11-25T12,142,246717
2024-11-25T13,740,247457
2024-11-25T14,790,248247
2024-11-25T15,180,248427
2024-11-25T16,235,248662
2024-11-25T17,304,248966
2024-11-25T18,-52,248914
2024-11-25T19,-54,248860
2024-11-25T20,-17,248843
2024-11-25T21,79,248922
2024-11-25T22,-3,248919
2024-11-25T23,432,249351
2024-11-26T00,1712,251063
2024-11-26T01,1853,252916
2024-11-26T02,1189,254105
2024-11-26T03,633,254738
2024-11-26T04,630,255368
2024-11-26T05,385,255753
2024-11-26T06,364,256117
2024-11-26T07,282,256399
2024-11-26T08,366,256765
2024-11-26T09,205,256970
2024-11-26T10,312,257282
2024-11-26T11,623,257905
2024-11-26T12,771,258676
2024-11-26T13,1632,260308
2024-11-26T14,1890,262198
2024-11-26T15,232,262430
2024-11-26T16,207,262637
2024-11-26T17,374,263011
2024-11-26T18,4,263015
2024-11-26T19,106,263121
2024-11-26T20,34,263155
2024-11-26T21,61,263216
2024-11-26T22,178,263394
2024-11-26T23,983,264377
2024-11-27T00,2365,266742
2024-11-27T01,1401,268143
2024-11-27T02,1335,269478
2024-11-27T03,1246,270724
2024-11-27T04,788,271512
2024-11-27T05,488,272000
2024-11-27T06,117,272117
2024-11-27T07,170,272287
2024-11-27T08,103,272390
2024-11-27T09,59,272449
2024-11-27T10,75,272524
2024-11-27T11,204,272728
2024-11-27T12,324,273052
2024-11-27T13,865,273917
2024-11-27T14,915,274832
2024-11-27T15,387,275219
